frame,timestamp,trunk_sagittal_tilt_deg,trunk_lateral_tilt_deg,pelvic_obliquity_deg,pelvic_tilt_sagittal_deg,pelvis_yaw_deg,shoulder_yaw_deg,pelvis_shoulder_dissociation_deg,hip_flex_R_deg,hip_flex_L_deg,knee_flex_R_deg,knee_flex_L_deg,ankle_dorsi_R_deg,ankle_dorsi_L_deg,hip_rotation_index_deg,shoulder_rotation_index_deg
108,3.5991,-7.8984,-178.2643,-176.7373,-59.99,-176.7373,-178.2643,-1.527,0.7013,5.4371,178.0743,175.4406,178.4748,175.2127,-4.7358,-1.527
109,3.6324,-7.8363,-178.2759,-176.4237,-59.5239,-176.4237,-178.2759,-1.8522,2.1863,5.6153,175.7716,174.1719,174.7857,173.2425,-3.429,-1.8522
110,3.6657,-8.1301,-178.3331,-176.4362,-62.1226,-176.4362,-178.3331,-1.8969,3.2424,5.8333,173.0484,173.7669,170.0816,171.9859,-2.5909,-1.8969
111,3.6991,-8.2187,-178.2723,-176.8091,-61.1404,-176.8091,-178.2723,-1.4631,3.7815,6.2875,172.1017,173.303,171.869,171.2811,-2.506,-1.4631
112,3.7324,-7.9146,-178.4006,-176.8312,-62.0299,-176.8312,-178.4006,-1.5694,3.8368,7.2076,173.5333,173.6166,175.5585,170.6215,-3.3707,-1.5694
113,3.7657,-7.8702,-178.4448,-176.8421,-63.0683,-176.8421,-178.4448,-1.6028,3.1761,7.8242,175.7156,173.8383,178.1701,170.3152,-4.6481,-1.6028
114,3.799,-7.642,-178.415,-176.7517,-62.6736,-176.7517,-178.415,-1.6633,2.6599,9.1083,177.3401,174.9203,178.8767,169.8754,-6.4484,-1.6633
115,3.8324,-7.4751,-178.4627,-177.0346,-57.834,-177.0346,-178.4627,-1.4281,2.3533,9.291,178.3735,174.1484,178.5171,169.065,-6.9377,-1.4281
116,3.8657,-7.632,-178.444,-177.112,-53.8241,-177.112,-178.444,-1.3321,1.8811,9.484,179.9647,174.3183,178.9669,169.4203,-7.603,-1.3321
117,3.899,-7.6147,-178.3036,-177.0578,-55.237,-177.0578,-178.3036,-1.2459,1.1394,9.4843,178.1852,174.336,179.2964,169.6799,-8.3449,-1.2459
118,3.9323,-7.1785,-178.3553,-177.1376,-55.1666,-177.1376,-178.3553,-1.2177,0.0625,9.5055,175.2433,173.3163,177.0548,168.8938,-9.443,-1.2177
119,3.9657,-6.5053,-178.3855,-178.0951,-57.2829,-178.0951,-178.3855,-0.2904,0.7425,9.4299,173.7989,172.8318,177.0675,168.5282,-8.6875,-0.2904
