frame,timestamp,hip_center_x,hip_center_y,ankle_L_x,ankle_L_y,ankle_R_x,ankle_R_y,foot_index_L_x,foot_index_R_x
237,7.898,0.6025,0.9103,0.6746,1.1072,0.4914,1.1287,0.6689,0.4956
238,7.9313,0.606,0.9107,0.675,1.1078,0.4889,1.3113,0.6693,0.5022
239,7.9647,0.6099,0.9095,0.6753,1.1069,0.492,1.3104,0.6696,0.5097
240,7.998,0.6131,0.9104,0.6734,1.109,0.5046,1.3064,0.6677,0.518
241,8.0313,0.6167,0.9148,0.6699,1.1128,0.5037,1.3002,0.6643,0.5285
242,8.0646,0.6208,0.9161,0.6689,1.1141,0.5033,1.3041,0.6632,0.5378
243,8.098,0.6263,0.9167,0.6684,1.115,0.4823,1.3089,0.6627,0.5494
244,8.1313,0.63,0.9173,0.6686,1.115,0.469,1.3059,0.6629,0.5565
245,8.1646,0.6311,0.9164,0.6673,1.1138,0.4681,1.3041,0.6616,0.56
246,8.1979,0.631,0.9171,0.6674,1.1136,0.4585,1.312,0.6617,0.5597
247,8.2313,0.63,0.9212,0.6666,1.1179,0.423,1.3213,0.6609,0.5586
248,8.2646,0.6274,0.9224,0.6599,1.1198,0.4167,1.3333,0.6542,0.56
249,8.2979,0.6237,0.9249,0.6519,1.1215,0.4222,1.3443,0.6462,0.5608
250,8.3312,0.6186,0.9226,0.6404,1.1183,0.4267,1.3431,0.6347,0.562
251,8.3646,0.6117,0.9166,0.6272,1.1084,0.43,1.3348,0.6216,0.5613
252,8.3979,0.6079,0.9083,0.6236,1.099,0.4219,1.3313,0.618,0.5573
253,8.4312,0.5956,0.901,0.6034,1.0926,0.4139,1.3198,0.5978,0.5529
254,8.4645,0.5897,0.889,0.594,1.0773,0.4126,1.303,0.5883,0.5506
255,8.4979,0.5834,0.8866,0.5816,1.0735,0.4148,1.2881,0.5759,0.5506
256,8.5312,0.5624,0.8904,0.5325,1.0781,0.4253,1.293,0.5268,0.5572
257,8.5645,0.5637,0.8948,0.5224,1.0807,0.4692,1.3076,0.5168,0.5701
258,8.5978,0.5686,0.8979,0.5167,1.0813,0.4891,1.3218,0.5111,0.5856
259,8.6312,0.5719,0.8994,0.5145,1.0822,0.4993,1.3291,0.5089,0.5944
260,8.6645,0.5783,0.9014,0.5154,1.0834,0.508,1.3402,0.5097,0.6065
261,8.6978,0.5795,0.9017,0.5076,1.0842,0.5097,1.3477,0.502,0.6165
262,8.7311,0.583,0.9011,0.5064,1.0845,0.5191,1.3579,0.5007,0.6249
263,8.7645,0.5816,0.9037,0.5046,1.0896,0.5249,1.352,0.4989,0.6237
264,8.7978,0.5829,0.9031,0.5032,1.0908,0.5204,1.3495,0.4977,0.6275
265,8.8311,0.5853,0.8981,0.4837,1.3488,0.5271,1.3484,0.5,0.63
266,8.8644,0.5855,0.8944,0.4993,1.3471,0.5328,1.3461,0.5021,0.6285
267,8.8978,0.5846,0.8918,0.5291,1.3454,0.5373,1.3404,0.4988,0.6299
268,8.9311,0.5845,0.8891,0.5511,1.3367,0.5512,1.3245,0.4979,0.6264
269,8.9644,0.5831,0.8831,0.5766,1.3278,0.5722,1.3123,0.4953,0.6338
270,8.9977,0.5829,0.879,0.5828,1.3224,0.5803,1.3,0.4949,0.6354
